date,vwretd,ewretd,sprtrn
1991-07-01,0.015764,0.00516,0.018213
1991-07-02,-0.001009,0.000728,-0.001191
1991-07-03,-0.00923,-0.003896,-0.010968
1991-07-05,0.001917,0.002082,0.002009
1991-07-08,0.008084,0.000466,0.010319
1991-07-09,-0.000854,0.003167,-0.004842
1991-07-10,0.000404,0.004199,-0.000984
1991-07-11,0.002929,0.002332,0.003274
1991-07-12,0.007602,0.005261,0.008701
1991-07-15,0.006161,0.005106,0.005628
1991-07-16,-0.001752,0.000392,-0.002223
1991-07-17,-0.000131,0.002304,-0.000944
1991-07-18,0.009041,0.006989,0.010992
1991-07-19,-0.001929,0.002343,-0.002984
1991-07-22,-0.003425,-0.000597,-0.003488
1991-07-23,-0.00842,-0.003266,-0.009037
1991-07-24,-0.002706,-0.001677,-0.002056
1991-07-25,0.005378,0.002458,0.006127
1991-07-26,0.000878,0.003006,-7.9e-05
1991-07-29,0.004775,0.000712,0.005828
1991-07-30,0.008723,0.004623,0.009239
1991-07-31,0.003968,0.005935,0.002896
1991-08-01,-0.000973,0.000698,-0.001779
1991-08-02,0.000808,0.001724,0.000155
1991-08-05,-0.004846,-0.002183,-0.005475
1991-08-06,0.011969,0.00285,0.014439
1991-08-07,0.001144,0.00262,-0.000154
1991-08-08,-0.001488,0.002178,-0.003175
1991-08-09,-0.003925,0.001036,-0.005651
1991-08-12,0.001978,0.000304,0.002325
1991-08-13,0.004441,0.002914,0.004124
1991-08-14,0.002259,0.003345,0.000719
1991-08-15,-0.001346,0.001052,-0.001462
1991-08-16,-0.007974,-0.001416,-0.009632
1991-08-19,-0.023036,-0.024102,-0.023627
1991-08-20,0.007127,0.007017,0.007863
1991-08-21,0.027107,0.019135,0.029413
1991-08-22,0.002229,0.004393,0.001895
1991-08-23,0.006183,0.005558,0.007257
1991-08-26,-0.000292,0.002194,-0.000812
1991-08-27,-0.000906,2.1e-05,-0.002006
1991-08-28,0.008422,0.006739,0.009108
1991-08-29,2.8e-05,0.002995,-0.000429
1991-08-30,-0.001435,0.0032,-0.002623
1991-09-03,-0.007347,-0.003144,-0.008295
1991-09-04,-0.005382,-0.002558,-0.005559
1991-09-05,-0.002508,0.000238,-0.002128
1991-09-06,0.000119,0.001691,-0.000103
1991-09-09,-0.000995,-3.6e-05,-0.001362
1991-09-10,-0.010083,-0.006563,-0.01032
1991-09-11,0.0018,0.001402,0.001378
1991-09-12,0.006593,0.005507,0.005843
1991-09-13,-0.008549,0.000488,-0.009681
1991-09-16,0.004198,-0.000553,0.005709
1991-09-17,-0.000361,-0.000129,-0.000726
1991-09-18,0.003527,0.003252,0.003735
1991-09-19,0.003243,0.005234,0.001602
1991-09-20,0.002261,0.006278,0.000929
1991-09-23,-0.004277,-0.002002,-0.005156
1991-09-24,0.004591,0.001866,0.004638
1991-09-25,-0.001444,0.002182,-0.002141
1991-09-26,-0.000196,0.003213,-0.001008
1991-09-27,-0.001547,0.000865,-0.001527
1991-09-30,0.005512,0.003947,0.005079
1991-10-01,0.002719,0.001359,0.003455
1991-10-02,-0.002361,-0.000598,-0.002415
1991-10-03,-0.00887,-0.003945,-0.009762
1991-10-04,-0.005721,-0.000299,-0.008401
1991-10-07,-0.005612,-0.005339,-0.004564
1991-10-08,0.002624,0.002109,0.003083
1991-10-09,-0.008432,-0.00279,-0.010166
1991-10-10,0.007061,0.00101,0.009952
1991-10-11,0.003056,0.004441,0.002365
1991-10-14,0.011955,0.006057,0.01316
1991-10-15,0.011922,0.006657,0.011747
1991-10-16,0.006814,0.007882,0.004578
1991-10-17,-0.002361,0.000436,-0.00224
1991-10-18,0.001829,0.005793,0.00148
1991-10-21,-0.005529,0.000213,-0.006318
1991-10-22,-0.003832,0.000658,-0.005615
1991-10-23,-0.00046,0.000247,0.000284
1991-10-24,-0.007669,-0.004424,-0.007398
1991-10-25,-0.002843,-0.000372,-0.002259
1991-10-28,0.011439,0.004369,0.013847
1991-10-29,0.005907,0.003411,0.005032
1991-10-30,0.005325,0.006553,0.003781
1991-10-31,0.001294,0.00758,-0.001272
1991-11-01,-0.002711,0.000563,-0.002905
1991-11-04,-0.002984,-0.001686,-0.002658
1991-11-05,-0.002225,0.000627,-0.004023
1991-11-06,0.002803,0.003658,0.003241
1991-11-07,0.009026,0.008263,0.009616
1991-11-08,0.000282,0.00371,-0.002108
1991-11-11,0.001565,0.002162,0.000585
1991-11-12,0.008718,0.005316,0.009208
1991-11-13,0.001393,0.000919,0.001689
1991-11-14,-0.000983,0.002022,-0.000654
