permno,ticker,comnam
19772,KSP,K V P SUTHERLAND PAPER CO
19788,PLTR,PALANTIR TECHNOLOGIES INC
19807,VNT,VONTIER CORP
19828,WEN,WENDYS CO
19836,,GREEN H L INC
19844,RBR,RUBEROID CO
19879,FBD,FIBREBOARD CORP
19887,HLYS,HOLLY SUGAR CORP
19895,MEA,MEAD CORP
19932,WKU,WAUKESHA MTR CO
19940,HIR,WALKER HIRAM GOODERHAM & WORTS
19959,,FAJARDO SUGAR CO P R
19967,GBL,GOEBEL BREWING CO
20001,PDC,PARKE DAVIS & CO
20036,CPP,CHAMPION PAPERS INC
20053,SNV,SYNOVUS FINANCIAL CORP
20057,VTRS,VIATRIS INC
20079,SQD,SQUARE D CO
20095,MPH,MURPHY G C & CO
20108,,DIXIE CUP CO
20124,HI,HOUSEHOLD INTERNATIONAL INC
20167,FO,FLINTKOTE CO
20190,ABNB,AIRBNB INC
20204,CXT,CRANE N X T CO
20220,BDK,BLACK & DECKER CORP
20239,ELG,EL PASO CO
20263,MGR,MCGRAW EDISON CO
20298,TR,TEXAS GULF PRODUCING CO
20343,ROP,ROPER CORP
20386,MNC,MASONITE CORP
20391,TPL,TEXAS PACIFIC LAND CORP
20394,OM,OUTBOARD MARINE CORP
20407,SVC,STOKELY VAN CAMP INC
20415,JEF,JEFFERIES FINANCIAL GROUP INC
20431,ATS,ASSOCIATES INVESTMENT CO
20474,SCM,S C M CORP
20482,ABT,ABBOTT LABORATORIES
20503,MUB,MUELLER BRASS CO
20511,RMC,RELIANCE MFG CO
20554,,D T M CORP
20562,ML,MARTIN MARIETTA CORP NEW
20570,NG,NATIONAL GYPSUM CO
20626,DOW,DOW CHEMICAL CO
20650,,WAYNE PUMP CO
20677,BUR,BURLINGTON INDUSTRIES INC
20714,BNDN,BOND INDUSTRIES INC
20730,CBS,C B S INC
20810,,CLIMAX MOLYBDENUM CO
20853,UCM,UNICOM CORP HOLDING CO
20909,XLO,EX CELL O CORP
20976,EAL,EASTERN AIR LINES INC
20984,PN,PAN AM CORP
20992,CTN,CHEMETRON CORP
21004,GTE,G T E CORP
21020,AAL,AMERICAN AIRLINES GROUP INC
21055,GCO,GENESCO INC
21119,RCB,REXNORD INC
21124,OGN,ORGANON & CO
21151,CNEO,CUNEO PRESS INC
21178,LMT,LOCKHEED MARTIN CORP
21186,WRK,WESTROCK CO
21194,AIC,AMERICAN INVESTMENT CO
21207,NEM,NEWMONT CORP
21223,,VIRGINIAN RY CO
21231,WGL,W G L HOLDINGS INC
21266,MCK,MC KESSON & ROBBINS INC
21274,GQ,GRUMMAN CORP
21282,CCN,CHRIS CRAFT INDS INC
21290,CDD,CORDANT TECHNOLOGIES INC
21303,RCC,ROYAL CROWN COS INC
21338,FMO,FEDERAL MOGUL CORP
21346,FFS,FOOD FAIR INC
21370,IPL,IPALCO ENTERPRISES INC
21371,CAH,CARDINAL HEALTH INC
21397,CHA,CHAMPION INTERNATIONAL CORP
21418,NND,NEWPORT NEWS SHIPBUILDING
21426,,PHILCO CORP
21434,COG,CONGOLEUM CORP
21450,SRD,STANDARD OIL CO OH
21469,CGW,CHICAGO GREAT WESTN RY CO
21485,NWA,N W A INC
21514,SNT,SONAT INC
21522,FTR,FRUEHAUF CORP
21530,JL,JONES & LAUGHLIN STL CORP
21549,AVC,A V C CORP
21557,JOY,JOY MANUFACTURING CO
21573,IP,INTERNATIONAL PAPER CO
21645,AEX,AMERICAN EXPT ISBRANDTSEN LINES
21688,,SYLVANIA ELEC PRODS INC
21709,SOC,SUPERIOR OIL CO
21768,GO,GULF CORP
21776,EXC,EXELON CORP
21784,,CORNELL DUBILIER ELEC CORP
21792,CNP,CENTERPOINT ENERGY INC
21821,CNG,CONSOLIDATED NATURAL GAS CO
21872,EPI,EAGLE PICHER INDS INC
21901,RMB,ROYAL MC BEE CORP
21928,IDA,IDACORP INC
21936,PFE,PFIZER INC
21979,CBE,COOPER INDUSTRIES INC
21995,NWT,NORTHWEST INDUSTRIES INC
22007,GDC,GARDNER DENVER CO
22015,,VERTIENTES CAMAGUEY SUGAR CO
22023,GWO,GENESIS WORLDWIDE INC
22032,CBSS,COMPASS BANCSHARES INC
22066,NSI,NATIONAL SERVICE INDUSTRIES INC
22074,VON,VONS COMPANIES INC
22082,PEL,PANENERGY CORP
22103,EMR,EMERSON ELECTRIC CO
22111,JNJ,JOHNSON & JOHNSON
22138,SOO,SOO LINE CORP
22170,KOP,KOPPERS CO
22189,NAL,NATIONAL AIRLINES INC
22218,WPI,WESTERN PACIFIC INDS INC DE
22242,ERP,EMERSON RADIO & PHONOGRAPH CORP
22250,HMX,HARTMARX CORP
22293,GLW,CORNING INC
22306,RA,R A C CORP
22330,NSU,NATIONAL SUGAR REFNG CO
22365,HEW,HEWITT ROBINS INC
22381,RUP,RUPPERT JACOB CO
22402,ST,CHICAGO MILWAUKEE ST PAUL & PAC
22410,SCI,SEABOARD COAST LINE INDS INC
22429,WD,WARD FOODS INC
22461,MMR,MOORE MCCORMACK RESOURCES INC
22488,ADL,ADMIRAL CORP
22496,FPC,FLORIDA PROGRESS CORP
22509,PPG,P P G INDUSTRIES INC
22517,PPL,P P L CORP
22533,CRR,CARRIER CORP
22541,GPU,G P U INC
22568,GLD,GOULD INC
22592,MMM,3M CO
22613,NCE,NEW CENTURY ENERGIES INC
22621,REP,REPUBLIC CORP
22623,CEG,CONSTELLATION ENERGY CORP
22648,DOC,DOCTOR PEPPER CO
22680,MZ,MILACRON INC
22699,DAY,DAY INTERNATIONAL
22728,LST,LOWENSTEIN M CORP
22752,MRK,MERCK & CO INC NEW
22753,CHRS,CHARMING SHOPPES INC
22760,MOH,MOHASCO CORP
22779,MSI,MOTOROLA SOLUTIONS INC
22787,PUL,PUBLICKER INDUSTRIES INC
22808,EWB,BLISS E W CO
